Question,Segment Type,Segment Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,University,Colorado State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Colorado State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Colorado State University,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Colorado State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Clemson University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Clemson University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Clemson University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Clemson University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Clemson University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Rochester,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Rochester,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,University of Rochester,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Rochester,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Rochester,None,0,0.0
What social platform has influenced your online shopping most?,University,James Madison University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,James Madison University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,James Madison University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,James Madison University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,James Madison University,None,1,1.0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,None,1,1.0
What social platform has influenced your online shopping most?,University,Loyola University Maryland,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Loyola University Maryland,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Loyola University Maryland,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Loyola University Maryland,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Loyola University Maryland,None,1,1.0
What social platform has influenced your online shopping most?,University,Michigan Technological University,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Michigan Technological University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Michigan Technological University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Michigan Technological University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Michigan Technological University,None,0,0.0
What social platform has influenced your online shopping most?,University,Texas State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Texas State University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Texas State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Texas State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Texas State University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Tennessee at Chattanooga,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Tennessee at Chattanooga,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,University of Tennessee at Chattanooga,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Tennessee at Chattanooga,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Tennessee at Chattanooga,None,2,0.667
What social platform has influenced your online shopping most?,University,Seton Hall University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Seton Hall University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Seton Hall University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Seton Hall University,Twitter,1,0.5
What social platform has influenced your online shopping most?,University,Seton Hall University,None,1,0.5
What social platform has influenced your online shopping most?,University,Roger Williams University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Roger Williams University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Roger Williams University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Roger Williams University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Roger Williams University,None,1,1.0
What social platform has influenced your online shopping most?,University,Elon University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Elon University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Elon University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Elon University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Elon University,None,1,1.0
What social platform has influenced your online shopping most?,University,Emily Carr University of Art and Design,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Emily Carr University of Art and Design,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Emily Carr University of Art and Design,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Emily Carr University of Art and Design,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Emily Carr University of Art and Design,None,0,0.0
What social platform has influenced your online shopping most?,University,United States Military Academy,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,United States Military Academy,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,United States Military Academy,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,United States Military Academy,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,United States Military Academy,None,0,0.0
What social platform has influenced your online shopping most?,University,Indiana University of Pennsylvania,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Indiana University of Pennsylvania,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,Indiana University of Pennsylvania,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Indiana University of Pennsylvania,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Indiana University of Pennsylvania,None,1,0.5
What social platform has influenced your online shopping most?,University,University of Tampa,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,University of Tampa,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Tampa,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Tampa,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Tampa,None,0,0.0
What social platform has influenced your online shopping most?,High School,Essex Technical High School,Facebook,0,0.0
What social platform has influenced your online shopping most?,High School,Essex Technical High School,Instagram,1,1.0
What social platform has influenced your online shopping most?,High School,Essex Technical High School,Snapchat,0,0.0
What social platform has influenced your online shopping most?,High School,Essex Technical High School,Twitter,0,0.0
